e     1	1
e     2	-1
e     3	1
e     4	0
e     5	0
e     6	-1
e     7	0
e     8	1
e     9	1
e    10	1
e    11	0
e    12	0
e    13	-1
e    14	-1
e    15	1
e    16	-1
e    17	1
e    18	-1
e    19	-1
e    20	0
e    21	-1
e    22	1
e    23	1
e    24	-1
e    25	-1
e    26	-1
e    27	1
e    28	-1
e    29	-1
e    30	0
e    31	-1
e    32	1
e    33	0
e    34	-1
e    35	1
e    36	-1
e    37	1
e    38	-1
e    39	0
e    40	0
e    41	0
e    42	0
e    43	-1
e    44	1
e    45	0
e    46	1
e    47	1
e    48	1
e    49	0
e    50	1
e    51	0
e    52	1
e    53	1
e    54	-1
e    55	1
e    56	0
e    57	0
e    58	0
e    59	0
e    60	1
e    61	-1
e    62	-1
e    63	-1
e    64	1
e    65	1
e    66	0
e    67	0
e    68	1
e    69	-1
e    70	-1
e    71	1
e    72	-1
e    73	1
e    74	0
e    75	0
e    76	1
e    77	-1
e    78	0
e    79	0
e    80	-1
e    81	0
e    82	0
e    83	1
e    84	0
e    85	0
e    86	0
e    87	-1
e    88	-1
e    89	1
e    90	1
e    91	-1
e    92	1
e    93	0
e    94	1
e    95	-1
e    96	0
e    97	-1
e    98	1
e    99	0
e   100	-1
e   101	-1
e   102	0
e   103	1
e   104	0
e   105	-1
e   106	0
e   107	1
e   108	1
e   109	1
e   110	-1
e   111	1
e   112	1
e   113	1
e   114	0
e   115	0
e   116	-1
e   117	1
e   118	-1
e   119	0
e   120	1
e   121	0
e   122	0
e   123	1
e   124	0
e   125	1
e   126	0
e   127	1
e   128	0
e   129	-1
e   130	-1
e   131	-1
e   132	1
e   133	1
e   134	1
e   135	1
e   136	0
e   137	0
e   138	0
e   139	1
e   140	0
e   141	0
e   142	-1
e   143	0
e   144	0
e   145	0
e   146	0
e   147	0
e   148	-1
e   149	-1
e   150	0
e   151	1
e   152	0
e   153	-1
e   154	-1
e   155	1
e   156	1
e   157	0
e   158	0
e   159	0
e   160	0
e   161	0
e   162	-1
e   163	-1
e   164	0
e   165	0
e   166	0
e   167	-1
e   168	1
e   169	1
e   170	0
e   171	0
e   172	0
e   173	0
e   174	0
e   175	1
e   176	0
e   177	-1
e   178	-1
e   179	0
e   180	-1
e   181	0
e   182	1
e   183	-1
e   184	1
e   185	1
e   186	0
e   187	-1
e   188	0
e   189	0
e   190	1
e   191	0
