e     1	-1
e     2	-1
e     3	0
e     4	1
e     5	1
e     6	-1
e     7	0
e     8	0
e     9	0
e    10	0
e    11	1
e    12	-1
e    13	-1
e    14	0
e    15	1
e    16	0
e    17	0
e    18	-1
e    19	0
e    20	0
e    21	1
e    22	1
e    23	0
e    24	-1
e    25	1
e    26	1
e    27	-1
e    28	-1
e    29	-1
e    30	1
e    31	0
e    32	1
e    33	0
e    34	0
e    35	1
e    36	0
e    37	0
e    38	0
e    39	0
e    40	0
e    41	-1
e    42	1
e    43	1
e    44	0
e    45	0
e    46	-1
e    47	1
e    48	0
e    49	1
e    50	1
e    51	-1
e    52	0
e    53	0
e    54	1
e    55	0
e    56	0
e    57	-1
e    58	-1
e    59	1
e    60	1
e    61	-1
e    62	0
e    63	0
e    64	1
e    65	0
e    66	0
e    67	1
e    68	0
e    69	-1
e    70	-1
e    71	0
e    72	0
e    73	-1
e    74	-1
e    75	0
e    76	-1
e    77	0
e    78	0
e    79	-1
e    80	0
e    81	0
e    82	0
e    83	-1
e    84	0
e    85	-1
e    86	0
e    87	0
e    88	0
e    89	0
e    90	0
e    91	0
e    92	0
e    93	1
e    94	1
e    95	1
e    96	1
e    97	0
e    98	0
e    99	0
e   100	-1
e   101	0
e   102	0
e   103	1
e   104	-1
e   105	0
e   106	1
e   107	-1
e   108	-1
e   109	1
e   110	0
e   111	0
e   112	-1
e   113	0
e   114	0
e   115	-1
e   116	0
e   117	1
e   118	1
e   119	-1
e   120	0
e   121	0
e   122	-1
e   123	-1
e   124	0
e   125	-1
e   126	0
e   127	1
e   128	0
e   129	0
e   130	1
e   131	1
e   132	0
e   133	0
e   134	-1
e   135	0
e   136	1
e   137	0
e   138	0
e   139	1
e   140	-1
e   141	0
e   142	1
e   143	1
e   144	1
e   145	1
e   146	0
e   147	1
e   148	0
e   149	-1
e   150	1
e   151	1
e   152	1
e   153	0
e   154	0
e   155	-1
e   156	0
e   157	0
e   158	0
e   159	0
e   160	1
e   161	0
e   162	1
e   163	0
e   164	1
e   165	0
e   166	-1
e   167	0
e   168	1
e   169	1
e   170	-1
e   171	-1
e   172	0
e   173	-1
e   174	1
e   175	1
e   176	-1
e   177	0
e   178	0
e   179	1
e   180	-1
e   181	0
e   182	-1
e   183	1
e   184	0
e   185	-1
e   186	0
e   187	1
e   188	1
e   189	1
e   190	0
e   191	0
e   192	0
